"F16.INT.004" "F16.INT.021" "F16.INT.027" "F16.INT.103" "F16.INT.104" "F16.INT.107" "F16.INT.114" "F16.INT.204" "F16.INT.205" "F16.INT.207" "F16.INT.208" "F16.INT.209" "F16.INT.210" "F16.INT.306" "F16.INT.312" "F16.INT.320" "F16.INT.409" "F16.INT.411" "F16.INT.412" "F16.INT.501" "F16.INT.502" "F16.INT.503" "F16.INT.504" "F16.INT.505" "F16.INT.609" "F16.INT.612" "F16.INT.681" "F16.INT.686" "F16.INT.701"
"F16.INT.004" 0.727843994338816 0.0950946189747423 0.0699938003938491 -0.0519697775375227 -0.0210772494919807 -0.0964206360435983 -0.0378998119652733 -0.022325639164572 0.017254453077944 -0.0885312226209044 0.00771757459551555 -0.0251600976834914 -0.0389333148909445 -0.0345844164413391 -0.0351574477664636 -0.0241368274600563 -0.0309620398503749 0.0236601246766553 0.000871896800727953 -0.0829339344987069 -0.087108877010327 -0.128561553761732 -0.124355913143408 -0.0746863764978111 -0.0139962195458011 0.00615197115365952 0.0443813467012402 0.0437980826738809 -0.0179665080127335
"F16.INT.021" 0.0950946189747423 0.858843048343131 0.130151856829672 -0.0404784529283329 -0.00365095758686017 -0.00866498168169829 0.0249289797537157 0.0939178582177907 0.0388352220902144 -0.00255605844778304 -0.127681541369576 0.0637825501375906 -0.185905617083106 -0.0352597747888079 -0.0844995379405645 0.0164358368991951 -0.0173934766876095 -0.0408161321020674 -0.127108510044451 -0.147410191277428 -0.0969834346664886 -0.0980783338055647 -0.0950596866464277 -0.0192762938987324 -0.0197163000948104 -0.0592145307194529 -0.0827088150495504 -0.0367025858038544 0.00717524137709587
"F16.INT.027" 0.0699938003938491 0.130151856829672 0.711901444257677 -0.00860358546829381 -0.0916624295046184 -0.00438771214773383 0.0111045990350915 -0.0350448880418858 -0.0646071647969636 -0.112526909360485 -0.0204325892512159 -0.0776436274435416 -0.0151525148982845 0.00344030506155384 -0.0119701445033972 -0.00569749803373256 0.0628513742342651 -0.0276364116242068 -0.0569531035256598 -0.0956531833760212 -0.0731207730559538 -0.0525530415648827 -0.136184916926332 -0.0882958704695144 0.00622360006929992 0.0145018561769 0.0687556434234903 -0.0632871462087318 -0.0375109692803669
"F16.INT.103" -0.0519697775375227 -0.0404784529283329 -0.00860358546829381 0.834755267283441 0.200931458184758 0.176925538742944 0.0814339614918689 -0.115760443266545 -0.0939852529118192 -0.000356027467395028 -0.129932735861136 -0.130168088012528 -0.0991323021357043 -0.0271247765124888 -0.0742873011106708 -0.0321081025006233 -0.0267666319342872 -0.106274728295289 -0.072384018495078 -0.0339295234983395 -0.0570963613569406 -0.0543335317536612 -0.0661523028343507 -0.0173730112831413 0.0581545639086907 0.0720710389474235 -0.0561754181558487 -0.0730798422470148 -0.0567996129921428
"F16.INT.104" -0.0210772494919807 -0.00365095758686017 -0.0916624295046184 0.200931458184758 0.741044180221142 0.0119641460227785 0.00757431676423621 0.0439208751006941 -0.105230992667384 0.0910731669966372 -0.0934019888844604 -0.0660397431097739 -0.0545893493095214 -0.0597363985334053 -0.00867521438393278 -0.0216912116260419 -0.0599717506847954 -0.014548785466457 -0.0495036962990415 -0.0540777141978031 -0.0974234408625651 -0.085461411950595 -0.0827395131562541 -0.052952116952023 -0.0533921231481018 0.115130249949626 -0.0786975957736812 -0.0187441933825458 -0.038370516268054
"F16.INT.107" -0.0964206360435983 -0.00866498168169829 -0.00438771214773383 0.176925538742944 0.0119641460227785 0.805203223230598 0.110873445820129 -0.0275647827085666 -0.0167692818513136 0.0655835057308369 0.00514916633469175 0.00995853638484317 -0.0355667558558384 0.0245708351755136 -0.0436608233232204 -0.0643922780500425 0.0439208751006938 -0.127579214347233 -0.147399958575195 -0.146039009178023 -0.111636664266095 -0.125194994726626 -0.112680399894001 -0.0739905527458764 0.00183377081075845 0.0457218306939395 -0.050475803011307 -0.0602582663473573 -0.0490227592940258
"F16.INT.114" -0.0378998119652733 0.0249289797537157 0.0111045990350915 0.0814339614918689 0.00757431676423621 0.110873445820129 0.727281195715921 0.0315495380993488 0.0521377349948856 -0.00735519579569899 -0.0793627214189145 0.0212963704605157 -0.0862493300226408 -0.0430263957846893 -0.00413189459187467 0.0876042809391891 0.0466530065972696 -0.00139976309530027 -0.0722612260682691 -0.143603626046245 -0.11661999025423 -0.109999431908597 -0.144074330349026 -0.0555307579150856 -0.068434195432614 -0.0310745995749524 0.0059677825134417 -0.115392065986106 -0.0919898759761197
"F16.INT.204" -0.022325639164572 0.0939178582177907 -0.0350448880418858 -0.115760443266545 0.0439208751006941 -0.0275647827085666 0.0315495380993488 0.703234345465168 0.0727566299971279 0.0883410355000628 -0.000581146916551178 0.149041425154306 0.00410543070678626 -0.0900661279560587 -0.0369277052530081 -0.0508339475895082 -0.0407445031864263 -0.0632769135064946 -0.0593577885507337 -0.11052129972255 -0.0802734319177739 -0.119648870115603 -0.141260337234577 -0.030757385805687 -0.0297136501777823 -0.0712891193560024 -0.0437426849410965 0.000186305751026189 -0.0173627785809067
"F16.INT.205" 0.017254453077944 0.0388352220902144 -0.0646071647969636 -0.0939852529118192 -0.105230992667384 -0.0167692818513136 0.0521377349948856 0.0727566299971279 0.730463566110812 0.10151052327569 0.059771330861719 0.260434621677571 0.000360261689010429 -0.047518552065577 -0.0605550147121546 -0.0329164859771384 -0.0412254401914411 -0.0382374911390071 -0.0366923531016197 -0.132368118992916 -0.098559270810581 -0.107072879069571 -0.132245326566102 -0.0968197114307387 -0.0580889334736731 -0.0898717066136041 0.00266261969174032 -0.0237377520729148 -0.0596852350222352
"F16.INT.207" -0.0885312226209044 -0.00255605844778304 -0.112526909360485 -0.000356027467395028 0.0910731669966372 0.0655835057308369 -0.00735519579569899 0.0883410355000628 0.10151052327569 0.799616167810638 0.0186767986885199 0.0932220344658537 -0.00838869872136997 -0.142027789902153 -0.0951210828598332 0.0236191938677177 -0.0900354298493556 -0.05885638614125 -0.157018698675494 -0.0770194326072464 -0.112056205057704 -0.0772445520564017 -0.0626527186701993 -0.121593083540131 -0.0258866195421309 0.0509405088334659 -0.117366977517337 0.0583182871444392 -0.0343081334810111
