"Parent1" "Parent2"
"1" "F16.INT.004" "F16.INT.021"
"2" "F16.INT.004" "F16.INT.027"
"3" "F16.INT.004" "F16.INT.103"
"4" "F16.INT.004" "F16.INT.104"
"5" "F16.INT.004" "F16.INT.107"
"6" "F16.INT.004" "F16.INT.114"
"7" "F16.INT.004" "F16.INT.204"
"8" "F16.INT.004" "F16.INT.205"
"9" "F16.INT.004" "F16.INT.207"
"10" "F16.INT.004" "F16.INT.208"
"11" "F16.INT.004" "F16.INT.209"
"12" "F16.INT.004" "F16.INT.210"
"13" "F16.INT.004" "F16.INT.306"
"14" "F16.INT.004" "F16.INT.312"
"15" "F16.INT.004" "F16.INT.320"
"16" "F16.INT.004" "F16.INT.409"
"17" "F16.INT.004" "F16.INT.411"
"18" "F16.INT.004" "F16.INT.412"
"19" "F16.INT.004" "F16.INT.501"
"20" "F16.INT.004" "F16.INT.502"
"21" "F16.INT.004" "F16.INT.503"
"22" "F16.INT.004" "F16.INT.504"
"23" "F16.INT.004" "F16.INT.505"
"24" "F16.INT.004" "F16.INT.609"
"25" "F16.INT.004" "F16.INT.612"
"26" "F16.INT.004" "F16.INT.681"
"27" "F16.INT.004" "F16.INT.686"
"28" "F16.INT.004" "F16.INT.701"
"29" "F16.INT.021" "F16.INT.027"
"30" "F16.INT.021" "F16.INT.103"
"31" "F16.INT.021" "F16.INT.104"
"32" "F16.INT.021" "F16.INT.107"
"33" "F16.INT.021" "F16.INT.114"
"34" "F16.INT.021" "F16.INT.204"
"35" "F16.INT.021" "F16.INT.205"
"36" "F16.INT.021" "F16.INT.207"
"37" "F16.INT.021" "F16.INT.208"
"38" "F16.INT.021" "F16.INT.209"
"39" "F16.INT.021" "F16.INT.210"
"40" "F16.INT.021" "F16.INT.306"
"41" "F16.INT.021" "F16.INT.312"
"42" "F16.INT.021" "F16.INT.320"
"43" "F16.INT.021" "F16.INT.409"
"44" "F16.INT.021" "F16.INT.411"
"45" "F16.INT.021" "F16.INT.412"
"46" "F16.INT.021" "F16.INT.501"
"47" "F16.INT.021" "F16.INT.502"
"48" "F16.INT.021" "F16.INT.503"
"49" "F16.INT.021" "F16.INT.504"
"50" "F16.INT.021" "F16.INT.505"
"51" "F16.INT.021" "F16.INT.609"
"52" "F16.INT.021" "F16.INT.612"
"53" "F16.INT.021" "F16.INT.681"
"54" "F16.INT.021" "F16.INT.686"
"55" "F16.INT.021" "F16.INT.701"
"56" "F16.INT.027" "F16.INT.103"
"57" "F16.INT.027" "F16.INT.104"
"58" "F16.INT.027" "F16.INT.107"
"59" "F16.INT.027" "F16.INT.114"
"60" "F16.INT.027" "F16.INT.204"
"61" "F16.INT.027" "F16.INT.205"
"62" "F16.INT.027" "F16.INT.207"
"63" "F16.INT.027" "F16.INT.208"
"64" "F16.INT.027" "F16.INT.209"
"65" "F16.INT.027" "F16.INT.210"
"66" "F16.INT.027" "F16.INT.306"
"67" "F16.INT.027" "F16.INT.312"
"68" "F16.INT.027" "F16.INT.320"
"69" "F16.INT.027" "F16.INT.409"
"70" "F16.INT.027" "F16.INT.411"
"71" "F16.INT.027" "F16.INT.412"
"72" "F16.INT.027" "F16.INT.501"
"73" "F16.INT.027" "F16.INT.502"
"74" "F16.INT.027" "F16.INT.503"
"75" "F16.INT.027" "F16.INT.504"
"76" "F16.INT.027" "F16.INT.505"
"77" "F16.INT.027" "F16.INT.609"
"78" "F16.INT.027" "F16.INT.612"
"79" "F16.INT.027" "F16.INT.681"
"80" "F16.INT.027" "F16.INT.686"
"81" "F16.INT.027" "F16.INT.701"
"82" "F16.INT.103" "F16.INT.104"
"83" "F16.INT.103" "F16.INT.107"
"84" "F16.INT.103" "F16.INT.114"
"85" "F16.INT.103" "F16.INT.204"
"86" "F16.INT.103" "F16.INT.205"
"87" "F16.INT.103" "F16.INT.207"
"88" "F16.INT.103" "F16.INT.208"
"89" "F16.INT.103" "F16.INT.209"
"90" "F16.INT.103" "F16.INT.210"
"91" "F16.INT.103" "F16.INT.306"
"92" "F16.INT.103" "F16.INT.312"
"93" "F16.INT.103" "F16.INT.320"
"94" "F16.INT.103" "F16.INT.409"
"95" "F16.INT.103" "F16.INT.411"
"96" "F16.INT.103" "F16.INT.412"
"97" "F16.INT.103" "F16.INT.501"
"98" "F16.INT.103" "F16.INT.502"
"99" "F16.INT.103" "F16.INT.503"
"100" "F16.INT.103" "F16.INT.504"
"101" "F16.INT.103" "F16.INT.505"
"102" "F16.INT.103" "F16.INT.609"
"103" "F16.INT.103" "F16.INT.612"
"104" "F16.INT.103" "F16.INT.681"
"105" "F16.INT.103" "F16.INT.686"
"106" "F16.INT.103" "F16.INT.701"
"107" "F16.INT.104" "F16.INT.107"
"108" "F16.INT.104" "F16.INT.114"
"109" "F16.INT.104" "F16.INT.204"
"110" "F16.INT.104" "F16.INT.205"
"111" "F16.INT.104" "F16.INT.207"
"112" "F16.INT.104" "F16.INT.208"
"113" "F16.INT.104" "F16.INT.209"
"114" "F16.INT.104" "F16.INT.210"
"115" "F16.INT.104" "F16.INT.306"
"116" "F16.INT.104" "F16.INT.312"
"117" "F16.INT.104" "F16.INT.320"
"118" "F16.INT.104" "F16.INT.409"
"119" "F16.INT.104" "F16.INT.411"
"120" "F16.INT.104" "F16.INT.412"
"121" "F16.INT.104" "F16.INT.501"
"122" "F16.INT.104" "F16.INT.502"
"123" "F16.INT.104" "F16.INT.503"
"124" "F16.INT.104" "F16.INT.504"
"125" "F16.INT.104" "F16.INT.505"
"126" "F16.INT.104" "F16.INT.609"
"127" "F16.INT.104" "F16.INT.612"
"128" "F16.INT.104" "F16.INT.681"
"129" "F16.INT.104" "F16.INT.686"
"130" "F16.INT.104" "F16.INT.701"
"131" "F16.INT.107" "F16.INT.114"
"132" "F16.INT.107" "F16.INT.204"
"133" "F16.INT.107" "F16.INT.205"
"134" "F16.INT.107" "F16.INT.207"
"135" "F16.INT.107" "F16.INT.208"
"136" "F16.INT.107" "F16.INT.209"
"137" "F16.INT.107" "F16.INT.210"
"138" "F16.INT.107" "F16.INT.306"
"139" "F16.INT.107" "F16.INT.312"
"140" "F16.INT.107" "F16.INT.320"
"141" "F16.INT.107" "F16.INT.409"
"142" "F16.INT.107" "F16.INT.411"
"143" "F16.INT.107" "F16.INT.412"
"144" "F16.INT.107" "F16.INT.501"
"145" "F16.INT.107" "F16.INT.502"
"146" "F16.INT.107" "F16.INT.503"
"147" "F16.INT.107" "F16.INT.504"
"148" "F16.INT.107" "F16.INT.505"
"149" "F16.INT.107" "F16.INT.609"
"150" "F16.INT.107" "F16.INT.612"
"151" "F16.INT.107" "F16.INT.681"
"152" "F16.INT.107" "F16.INT.686"
"153" "F16.INT.107" "F16.INT.701"
"154" "F16.INT.114" "F16.INT.204"
"155" "F16.INT.114" "F16.INT.205"
"156" "F16.INT.114" "F16.INT.207"
"157" "F16.INT.114" "F16.INT.208"
"158" "F16.INT.114" "F16.INT.209"
"159" "F16.INT.114" "F16.INT.210"
"160" "F16.INT.114" "F16.INT.306"
"161" "F16.INT.114" "F16.INT.312"
"162" "F16.INT.114" "F16.INT.320"
"163" "F16.INT.114" "F16.INT.409"
"164" "F16.INT.114" "F16.INT.411"
"165" "F16.INT.114" "F16.INT.412"
"166" "F16.INT.114" "F16.INT.501"
"167" "F16.INT.114" "F16.INT.502"
"168" "F16.INT.114" "F16.INT.503"
"169" "F16.INT.114" "F16.INT.504"
"170" "F16.INT.114" "F16.INT.505"
"171" "F16.INT.114" "F16.INT.609"
"172" "F16.INT.114" "F16.INT.612"
"173" "F16.INT.114" "F16.INT.681"
"174" "F16.INT.114" "F16.INT.686"
"175" "F16.INT.114" "F16.INT.701"
"176" "F16.INT.204" "F16.INT.205"
"177" "F16.INT.204" "F16.INT.207"
"178" "F16.INT.204" "F16.INT.208"
"179" "F16.INT.204" "F16.INT.209"
"180" "F16.INT.204" "F16.INT.210"
"181" "F16.INT.204" "F16.INT.306"
"182" "F16.INT.204" "F16.INT.312"
"183" "F16.INT.204" "F16.INT.320"
"184" "F16.INT.204" "F16.INT.409"
"185" "F16.INT.204" "F16.INT.411"
"186" "F16.INT.204" "F16.INT.412"
"187" "F16.INT.204" "F16.INT.501"
"188" "F16.INT.204" "F16.INT.502"
"189" "F16.INT.204" "F16.INT.503"
"190" "F16.INT.204" "F16.INT.504"
"191" "F16.INT.204" "F16.INT.505"
"192" "F16.INT.204" "F16.INT.609"
"193" "F16.INT.204" "F16.INT.612"
"194" "F16.INT.204" "F16.INT.681"
"195" "F16.INT.204" "F16.INT.686"
"196" "F16.INT.204" "F16.INT.701"
"197" "F16.INT.205" "F16.INT.207"
"198" "F16.INT.205" "F16.INT.208"
"199" "F16.INT.205" "F16.INT.209"
"200" "F16.INT.205" "F16.INT.210"
"201" "F16.INT.205" "F16.INT.306"
"202" "F16.INT.205" "F16.INT.312"
"203" "F16.INT.205" "F16.INT.320"
"204" "F16.INT.205" "F16.INT.409"
