"Name" "N" "WSC" "DMD" "GDC_Y1" "CYLD_Y1" "TYLD_Y1" "GDC_Y2" "CYLD_Y2" "TYLD_Y2" "C_RUST" "GDC_Y3" "CYLD_Y3" "TYLD_Y3" "SY"
"1" "F16.INT.004" 1.89 25.5975 77.985 56.875 6.615 17.765 41.875 6.9575 13.0875 3.375 45.25 5.3125 13.09 19
"2" "F16.INT.021" 1.8375 28.67 79.25875 53.75 6.7275 18.275 38.625 7.005 13.8525 3.75 44.875 5.2475 13.2575 21
"3" "F16.INT.027" 1.92375 28.68625 79.52625 53.75 5.855 16.3775 36.75 6.545 12.6125 3 45 4.9125 12.2425 22
"4" "F16.INT.103" 1.79625 29.49375 79.395 60 6.3475 17.7625 41.5 6.2775 12.9475 2.875 42.125 4.5275 12.4075 22
"5" "F16.INT.104" 1.91125 27.24 78.3525 56.25 6.21 17.25 40.625 6.2675 12.9975 2.625 45.875 4.83 12.3675 20
"6" "F16.INT.107" 1.98 27.4525 78.85625 56.875 5.925 15.975 39.625 6.0325 7.2125 2.25 45.25 4.68 11.8625 22
"7" "F16.INT.114" 1.7925 30.595 79.79625 54.375 6.7825 18.31 39 6.345 13.365 2 43.375 4.7125 12.7275 23
"8" "F16.INT.204" 1.7825 30.62125 79.76625 51.25 6.285 17.5825 37.375 6.475 13.52 2 43 4.7625 12.8425 18
"9" "F16.INT.205" 1.70875 31.805 80.23 50 6.515 18.505 35.875 7.27 14.515 3.375 40 4.9775 12.575 16
"10" "F16.INT.207" 1.91375 27.30875 78.46125 54.375 6.4975 17.22 39 6.9475 13.6525 2 42.125 4.82 12.355 23
"11" "F16.INT.208" 1.965 25.015 77.77375 56.25 6.65 17.8625 42.5 6.74 13.3125 2.875 43.75 4.81 12.495 28
"12" "F16.INT.209" 1.73 31.3625 79.585 57.5 6.1325 17.055 38.375 6.8625 13.6425 2.5 40.875 4.5875 12.4325 19
"13" "F16.INT.210" 1.93 27.18125 78.30375 68.75 6.445 17.285 46.25 6.1875 7.34 3.25 50 4.6525 12.165 24
"14" "F16.INT.306" 1.8225 30.26625 78.8025 60 7.125 18.405 41.5 6.7275 13.75 3.75 43.875 4.8375 12.9825 28
"15" "F16.INT.312" 1.9125 28.4975 78.8925 57.5 6.14 16.9575 40.625 7.2075 7.74 3.875 44.75 4.8975 12.6325 25
"16" "F16.INT.320" 1.935 27.12875 78.45875 54.375 5.6425 15.76 40.875 6.1125 12.205 2.5 45.875 4.5525 12.34 17
"17" "F16.INT.409" 1.9825 28.70125 79.96375 56.875 6.31 17.49 42.75 5.9125 12.4025 2.5 44 4.8925 13.155 18
"18" "F16.INT.411" 1.8725 27.5425 78.725 59.375 7.005 18.005 43.125 6.5025 13.005 2.5 45.125 4.925 12.8475 28
"19" "F16.INT.412" 1.83125 29.5325 79.22 60 6.345 17.685 44.625 6.6225 13.4975 3 44.25 4.9825 13.19 18
"20" "F16.INT.501" 1.8975 24.9275 77.5575 61.25 6.73 17.965 40.25 6.495 12.705 3.5 43.375 4.7875 12.935 39
"21" "F16.INT.502" 2.03375 22.5625 77.165 58.75 7.25 16.94 43.75 6.425 12.7575 4 47.125 4.8825 12.295 41
"22" "F16.INT.503" 1.8625 28.42875 78.9525 53.125 6.605 18.065 39.875 6.5 13.5025 2.625 44 4.975 13.085 21
"23" "F16.INT.504" 1.83875 26.72625 78.26625 55 6.6225 18.3575 39.625 6.775 13.5425 2.75 40.625 4.925 12.765 38
"24" "F16.INT.505" 1.90625 26.5425 78.72 58.125 6.335 18.35 41.5 7.0075 13.8075 2.75 43.375 4.9325 13.095 29
"25" "F16.INT.609" 1.83 28.65125 78.74 58.125 6.4175 17.9025 40.625 6.56 13.4225 3.125 46.25 4.6325 12.6475 16
"26" "F16.INT.612" 2.0125 26.03 78.56 61.25 6.6775 18.2125 43.375 7.28 13.65 2.5 44.875 5.065 13.215 45
"27" "F16.INT.681" 1.92625 27.8675 79.28375 53.75 6.595 18.2725 39 6.6675 13.6725 3.5 43.625 4.84 13.0675 19
"28" "F16.INT.686" 1.81125 29.0825 78.86125 60 6.77 17.805 47.125 6.6125 2.8875 3 48.375 4.94 12.4875 38
"29" "F16.INT.701" 1.82375 25.3725 77.6275 55 6.9475 18.505 39.875 7.6525 8.355 3.625 45.875 5.06 12.295 43
