"chr" "pos" "mkr"
"1" 1 0.027649005 "Chr1_74724"
"2" 1 0.027651965 "Chr1_74732"
"3" 1 0.027656776 "Chr1_74745"
"4" 1 0.156962239 "Chr1_424205"
"5" 1 0.197904405 "Chr1_534855"
"6" 1 0.683102193 "Chr1_1846147"
"7" 1 0.744817005 "Chr1_2012937"
"8" 1 0.860291675 "Chr1_2325018"
"9" 1 0.868404625 "Chr1_2346944"
"10" 1 1.444259803 "Chr1_3903246"
"11" 1 1.445218882 "Chr1_3905838"
"12" 1 1.454801902 "Chr1_3931737"
"13" 1 1.562552137 "Chr1_4222942"
"14" 1 1.562562128 "Chr1_4222969"
"15" 1 1.576182012 "Chr1_4259778"
"16" 1 1.576192743 "Chr1_4259807"
"17" 1 1.65277624 "Chr1_4466781"
"18" 1 1.726938728 "Chr1_4667212"
"19" 1 1.726944278 "Chr1_4667227"
"20" 1 1.893764088 "Chr1_5118073"
"21" 1 1.979416654 "Chr1_5349557"
"22" 1 1.98470898 "Chr1_5363860"
"23" 1 2.08742849 "Chr1_5641469"
"24" 1 2.621043489 "Chr1_7083613"
"25" 1 2.621053109 "Chr1_7083639"
"26" 1 2.688550147 "Chr1_7266056"
"27" 1 2.688558657 "Chr1_7266079"
"28" 1 3.094058531 "Chr1_8361980"
"29" 1 3.160744125 "Chr1_8542204"
"30" 1 3.227720181 "Chr1_8723213"
"31" 1 3.434957846 "Chr1_9283292"
"32" 1 3.450886625 "Chr1_9326341"
"33" 1 3.450906605 "Chr1_9326395"
"34" 1 3.450929546 "Chr1_9326457"
"35" 1 3.5011343 "Chr1_9462140"
"36" 1 3.50113763 "Chr1_9462149"
"37" 1 3.651618685 "Chr1_9868838"
"38" 1 3.651632745 "Chr1_9868876"
"39" 1 3.651637185 "Chr1_9868888"
"40" 1 3.680375885 "Chr1_9946557"
"41" 1 3.811885898 "Chr1_10301975"
"42" 1 3.811891448 "Chr1_10301990"
"43" 1 3.966128155 "Chr1_10718829"
"44" 1 4.031378831 "Chr1_10895175"
"45" 1 4.031395482 "Chr1_10895220"
"46" 1 4.031397702 "Chr1_10895226"
"47" 1 4.031404362 "Chr1_10895244"
"48" 1 4.61561152 "Chr1_12474118"
"49" 1 4.615624471 "Chr1_12474153"
"50" 1 4.664811312 "Chr1_12607085"
"51" 1 4.664815753 "Chr1_12607097"
"52" 1 4.664823523 "Chr1_12607118"
"53" 1 4.70530095 "Chr1_12716512"
"54" 1 4.735870855 "Chr1_12799130"
"55" 1 4.736375925 "Chr1_12800495"
"56" 1 4.736382956 "Chr1_12800514"
"57" 1 4.853369877 "Chr1_13116682"
"58" 1 4.858904932 "Chr1_13131641"
"59" 1 4.880396147 "Chr1_13189723"
"60" 1 4.900577138 "Chr1_13244264"
"61" 1 4.900591199 "Chr1_13244302"
"62" 1 4.906103683 "Chr1_13259200"
"63" 1 4.906110344 "Chr1_13259218"
"64" 1 4.961926375 "Chr1_13410066"
"65" 1 5.058999086 "Chr1_13672414"
"66" 1 5.059007597 "Chr1_13672437"
"67" 1 5.059010927 "Chr1_13672446"
"68" 1 5.065922068 "Chr1_13691124"
"69" 1 5.065926138 "Chr1_13691135"
"70" 1 5.065929098 "Chr1_13691143"
"71" 1 5.065954259 "Chr1_13691211"
"72" 1 5.067991562 "Chr1_13696717"
"73" 1 5.14336141 "Chr1_13900411"
"74" 1 5.14336252 "Chr1_13900414"
"75" 1 5.14336733 "Chr1_13900427"
"76" 1 5.160752858 "Chr1_13947413"
"77" 1 5.251597105 "Chr1_14192928"
"78" 1 5.251615236 "Chr1_14192977"
"79" 1 5.319116713 "Chr1_14375406"
"80" 1 5.39420868 "Chr1_14578349"
"81" 1 5.39421386 "Chr1_14578363"
"82" 1 5.565450909 "Chr1_15041147"
"83" 1 5.997571147 "Chr1_16208992"
"84" 1 6.036353536 "Chr1_16313805"
"85" 1 6.036353906 "Chr1_16313806"
"86" 1 6.160015159 "Chr1_16648012"
"87" 1 6.168086297 "Chr1_16669825"
"88" 1 6.168347898 "Chr1_16670532"
"89" 1 6.236726311 "Chr1_16855331"
"90" 1 6.39074249 "Chr1_17271574"
"91" 1 6.39074841 "Chr1_17271590"
"92" 1 6.390911216 "Chr1_17272030"
"93" 1 6.405765101 "Chr1_17312174"
"94" 1 6.405767691 "Chr1_17312181"
"95" 1 6.527453434 "Chr1_17641048"
"96" 1 6.612331929 "Chr1_17870440"
"97" 1 6.612340809 "Chr1_17870464"
"98" 1 6.612341549 "Chr1_17870466"
"99" 1 6.705878766 "Chr1_18123259"
"100" 1 6.707093895 "Chr1_18126543"
"101" 1 6.794444461 "Chr1_18362616"
"102" 1 6.818449928 "Chr1_18427493"
"103" 1 7.31480071 "Chr1_19768927"
"104" 1 7.317871095 "Chr1_19777225"
"105" 1 7.317873315 "Chr1_19777231"
"106" 1 7.414916795 "Chr1_20039500"
"107" 1 7.459394825 "Chr1_20159706"
"108" 1 7.459407775 "Chr1_20159741"
"109" 1 7.503806992 "Chr1_20279734"
"110" 1 7.503814763 "Chr1_20279755"
"111" 1 7.503815873 "Chr1_20279758"
"112" 1 7.800250108 "Chr1_21080899"
"113" 1 7.816388685 "Chr1_21124515"
"114" 1 7.827458795 "Chr1_21154433"
"115" 1 8.030951168 "Chr1_21704390"
"116" 1 8.030968928 "Chr1_21704438"
"117" 1 8.307074536 "Chr1_22450639"
"118" 1 8.307076016 "Chr1_22450643"
"119" 1 8.311286418 "Chr1_22462022"
"120" 1 8.311287898 "Chr1_22462026"
"121" 1 8.338740425 "Chr1_22536219"
"122" 1 8.338742275 "Chr1_22536224"
"123" 1 8.338755226 "Chr1_22536259"
"124" 1 8.514385464 "Chr1_23010916"
"125" 1 8.953604071 "Chr1_24197945"
"126" 1 8.958350254 "Chr1_24210772"
"127" 1 8.963016514 "Chr1_24223383"
"128" 1 8.963019474 "Chr1_24223391"
"129" 1 8.97520629 "Chr1_24256327"
"130" 1 8.97520962 "Chr1_24256336"
"131" 1 9.031736821 "Chr1_24409106"
"132" 1 9.162847217 "Chr1_24763444"
"133" 1 9.206072376 "Chr1_24880264"
"134" 1 9.206073486 "Chr1_24880267"
"135" 1 9.206077927 "Chr1_24880279"
"136" 1 9.206080887 "Chr1_24880287"
"137" 1 9.206086807 "Chr1_24880303"
"138" 1 9.2140277 "Chr1_24901764"
"139" 1 9.433512123 "Chr1_25494941"
"140" 1 9.521755165 "Chr1_25733426"
"141" 1 9.574533743 "Chr1_25876065"
"142" 1 9.722931613 "Chr1_26277124"
"143" 1 9.722946044 "Chr1_26277163"
"144" 1 9.758092664 "Chr1_26372150"
"145" 1 9.758095994 "Chr1_26372159"
"146" 1 10.37354611 "Chr1_28035470"
"147" 1 10.37356017 "Chr1_28035508"
"148" 1 10.37783681 "Chr1_28047066"
"149" 1 10.39053795 "Chr1_28081392"
"150" 1 10.39265665 "Chr1_28087118"
"151" 1 10.39265887 "Chr1_28087124"
"152" 1 10.47284743 "Chr1_28303841"
"153" 1 10.47286667 "Chr1_28303893"
"154" 1 10.50312872 "Chr1_28385679"
"155" 1 10.56596024 "Chr1_28555487"
"156" 1 10.9596459 "Chr1_29619459"
"157" 1 10.95964775 "Chr1_29619464"
"158" 1 10.95965922 "Chr1_29619495"
"159" 1 11.19637339 "Chr1_30259237"
"160" 1 11.27813155 "Chr1_30480196"
"161" 1 11.27813377 "Chr1_30480202"
"162" 1 11.27814228 "Chr1_30480225"
"163" 1 11.4503706 "Chr1_30945688"
"164" 1 11.45941451 "Chr1_30970130"
"165" 1 11.91471693 "Chr1_32200627"
"166" 1 12.01961139 "Chr1_32484114"
"167" 1 12.01961768 "Chr1_32484131"
"168" 1 12.02943159 "Chr1_32510654"
"169" 1 12.03180598 "Chr1_32517071"
"170" 1 12.63823032 "Chr1_34155989"
"171" 1 12.63823254 "Chr1_34155995"
"172" 1 12.63823291 "Chr1_34155996"
"173" 1 12.63823698 "Chr1_34156007"
"174" 1 12.68821121 "Chr1_34291067"
"175" 1 12.68823082 "Chr1_34291120"
"176" 1 12.68823304 "Chr1_34291126"
"177" 1 12.79743522 "Chr1_34586255"
"178" 1 12.82261067 "Chr1_34654294"
"179" 1 12.82261215 "Chr1_34654298"
"180" 1 12.82261474 "Chr1_34654305"
"181" 1 12.90395219 "Chr1_34874127"
"182" 1 13.04570163 "Chr1_35257218"
"183" 1 13.04571902 "Chr1_35257265"
"184" 1 13.16046661 "Chr1_35567381"
"185" 1 13.19318927 "Chr1_35655817"
"186" 1 13.19320851 "Chr1_35655869"
"187" 1 13.24507426 "Chr1_35796041"
"188" 1 13.24508203 "Chr1_35796062"
"189" 1 13.2450898 "Chr1_35796083"
"190" 1 13.2450935 "Chr1_35796093"
"191" 1 13.24702091 "Chr1_35801302"
"192" 1 13.38717854 "Chr1_36180091"
"193" 1 13.38718594 "Chr1_36180111"
"194" 1 13.42539962 "Chr1_36283387"
"195" 1 13.47128333 "Chr1_36407392"
"196" 1 13.65617283 "Chr1_36907073"
"197" 1 13.65617468 "Chr1_36907078"
"198" 1 13.66385027 "Chr1_36927822"
"199" 1 13.73188198 "Chr1_37111684"
"200" 1 13.73188309 "Chr1_37111687"
"201" 1 13.73188679 "Chr1_37111697"
"202" 1 13.96416005 "Chr1_37739437"
"203" 1 14.1912579 "Chr1_38353190"
"204" 1 14.19252668 "Chr1_38356619"
"205" 1 14.23474503 "Chr1_38470718"
"206" 1 14.2347565 "Chr1_38470749"
"207" 1 14.23475798 "Chr1_38470753"
"208" 1 14.25771815 "Chr1_38532805"
"209" 1 14.28025503 "Chr1_38593713"
"210" 1 14.28027057 "Chr1_38593755"
"211" 1 14.28027575 "Chr1_38593769"
"212" 1 14.54531791 "Chr1_39310070"
"213" 1 14.65081993 "Chr1_39595199"
"214" 1 14.65082807 "Chr1_39595221"
"215" 1 14.70506969 "Chr1_39741814"
"216" 1 14.70508449 "Chr1_39741854"
"217" 1 14.78900798 "Chr1_39968665"
"218" 1 14.79220565 "Chr1_39977307"
"219" 1 15.30544503 "Chr1_41364384"
"220" 1 15.30545243 "Chr1_41364404"
"221" 1 15.3054528 "Chr1_41364405"
"222" 1 15.30545502 "Chr1_41364411"
"223" 1 15.59956445 "Chr1_42159269"
"224" 1 15.59956741 "Chr1_42159277"
"225" 1 15.68782081 "Chr1_42397790"
"226" 1 15.75123658 "Chr1_42569177"
"227" 1 15.89323467 "Chr1_42952940"
"228" 1 15.96609323 "Chr1_43149847"
"229" 1 15.96610988 "Chr1_43149892"
"230" 1 16.00224185 "Chr1_43247542"
"231" 1 16.28135864 "Chr1_44001881"
"232" 1 16.30104011 "Chr1_44055072"
"233" 1 16.30105898 "Chr1_44055123"
"234" 1 16.30636389 "Chr1_44069460"
"235" 1 16.35274601 "Chr1_44194812"
"236" 1 16.38543425 "Chr1_44283155"
"237" 1 16.38544757 "Chr1_44283191"
"238" 1 16.4366251 "Chr1_44421503"
"239" 1 16.7399146 "Chr1_45241171"
"240" 1 16.73991941 "Chr1_45241184"
"241" 1 17.07991774 "Chr1_46160061"
"242" 1 17.32892233 "Chr1_46833019"
"243" 1 17.32893084 "Chr1_46833042"
"244" 1 17.59216696 "Chr1_47544462"
"245" 1 17.70764274 "Chr1_47856546"
"246" 1 17.75349315 "Chr1_47980461"
"247" 1 17.76977789 "Chr1_48024472"
"248" 1 17.76977974 "Chr1_48024477"
"249" 1 18.07922592 "Chr1_48860784"
"250" 1 18.08908978 "Chr1_48887442"
"251" 1 18.1869621 "Chr1_49151951"
"252" 1 18.28526363 "Chr1_49417620"
"253" 1 18.44151803 "Chr1_49839912"
"254" 1 18.44151914 "Chr1_49839915"
"255" 1 18.62399355 "Chr1_50333069"
"256" 1 18.62399503 "Chr1_50333073"
"257" 1 18.92220681 "Chr1_51139018"
"258" 1 18.9992976 "Chr1_51347363"
"259" 1 19.14903418 "Chr1_51752040"
"260" 1 19.39272721 "Chr1_52410643"
"261" 1 19.54197686 "Chr1_52814004"
"262" 1 19.54908374 "Chr1_52833211"
