"Marker" "N.Additive" "N.Dominance" "WSC.Additive" "WSC.Dominance" "DMD.Additive" "DMD.Dominance" "GDC_Y1.Additive" "GDC_Y1.Dominance" "CYLD_Y1.Additive" "CYLD_Y1.Dominance" "TYLD_Y1.Additive" "TYLD_Y1.Dominance" "GDC_Y2.Additive" "GDC_Y2.Dominance" "CYLD_Y2.Additive" "CYLD_Y2.Dominance" "TYLD_Y2.Additive" "TYLD_Y2.Dominance" "C_RUST.Additive" "C_RUST.Dominance" "GDC_Y3.Additive" "GDC_Y3.Dominance" "CYLD_Y3.Additive" "CYLD_Y3.Dominance" "TYLD_Y3.Additive" "TYLD_Y3.Dominance" "SY.Additive" "SY.Dominance" "HD.Additive" "HD.Dominance"
"1" "Chr1_74724" 4.08e-05 -1.67e-05 0.000564983 0.001366652 0.00050893 0.000686046 -0.001331932 -0.001264091 -9.37e-05 -5.47e-05 -4.4e-09 -1.05e-09 -7.24e-05 0.000360403 -0.000136012 -1.04e-05 -1.81e-08 -8.23e-09 -0.000478454 -0.000333641 5.37e-09 3.62e-09 -5.57e-05 -2.91e-05 -9.35e-05 -2.6e-06 0.000899514 0.001831198 -0.001624627 -0.000351301
"2" "Chr1_74732" 5.64e-06 5.64e-06 -3.04e-05 -3.04e-05 9.67e-05 9.67e-05 -0.000294501 -0.000294501 -1.07e-05 -1.07e-05 1.01e-09 1.01e-09 -6.62e-05 -6.62e-05 7.16e-05 7.16e-05 5.82e-09 5.82e-09 -0.00022324 -0.00022324 -7.12e-09 -7.12e-09 6.34e-05 6.34e-05 3.95e-05 3.95e-05 -0.001282442 -0.001282442 -0.001268373 -0.001268373
"3" "Chr1_74745" 1.42e-05 -2.12e-05 -0.001255972 0.000324626 -0.000467728 -0.000115056 0.000410048 -0.001345274 1.45e-05 1.65e-05 1.31e-09 -7.08e-10 -0.000796582 -0.000379399 -5.79e-06 -5.42e-05 1.18e-09 -3.16e-09 -0.000147552 -0.000197581 1.25e-10 4.12e-09 1.1e-06 9.88e-06 1.07e-05 -6.29e-05 0.006232847 0.001906867 -0.003173733 -0.002304954
"4" "Chr1_424205" -0.000101644 -6.49e-05 0.000924056 0.000579089 1.31e-05 -7.94e-06 -0.002355811 -0.000281096 1.58e-05 -1.81e-05 3.37e-09 8.38e-10 -0.002802209 -0.001904332 0.000159356 -7.06e-06 -1.61e-09 3.36e-09 0.000203248 0.00020861 -1.87e-09 -4.12e-09 7.62e-05 -7.07e-05 1.9e-05 1.86e-05 -3.54e-06 -0.000543178 0.003120477 0.005509778
"5" "Chr1_534855" -2.18e-05 7.53e-06 -0.000668636 -3.63e-05 -0.000256092 9.66e-05 -0.000273426 0.000226826 5.05e-05 2.09e-05 1.81e-09 1.05e-10 -0.000312033 9.76e-05 0.000316061 0.000115054 -1.75e-09 5.88e-09 0.000271807 0.000110063 -1.62e-09 -4.62e-09 8.52e-05 2.15e-05 -5.41e-05 -8.67e-06 0.009104869 0.004020518 -0.002643631 -0.001107816
"6" "Chr1_1846147" 2.17e-05 2.17e-05 0.00034705 0.00034705 0.000324443 0.000324443 -0.002344922 -0.002344922 -5.61e-06 -5.61e-06 -2.44e-10 -2.44e-10 -0.002198124 -0.002198124 1.09e-05 1.09e-05 9.51e-09 9.51e-09 -0.000275381 -0.000275381 -3.62e-09 -3.62e-09 -3.41e-05 -3.41e-05 -4.88e-06 -4.88e-06 -0.000774067 -0.000774067 -0.000529439 -0.000529439
"7" "Chr1_2012937" 0 -6.35e-22 0 4.28e-18 0 1.22e-17 0 -1.44e-17 0 -1.52e-20 0 -1.03e-22 0 5.74e-18 0 6.95e-19 0 -3.89e-23 0 -6.08e-19 0 -1.5e-22 0 2.96e-19 0 3.56e-19 0 2.09e-18 0 5.44e-17
"8" "Chr1_2325018" -3.81e-05 -3.81e-05 0.000694808 0.000694808 0.000230467 0.000230467 -0.000834556 -0.000834556 -3.54e-06 -3.54e-06 9.89e-10 9.89e-10 -0.001391699 -0.001391699 -0.000100739 -0.000100739 6.5e-09 6.5e-09 -1.9e-05 -1.9e-05 -3e-09 -3e-09 7.28e-06 7.28e-06 5.01e-05 5.01e-05 -0.002846386 -0.002846386 0.002193936 0.002193936
"9" "Chr1_2346944" -0.000104946 -0.000104946 0.00224591 0.00224591 0.000738542 0.000738542 -0.001674969 -0.001674969 1.11e-05 1.11e-05 3.51e-09 3.51e-09 -0.00125943 -0.00125943 -1.65e-05 -1.65e-05 1.13e-08 1.13e-08 -0.000234267 -0.000234267 -1.07e-08 -1.07e-08 9.67e-05 9.67e-05 7.99e-05 7.99e-05 -0.00701992 -0.00701992 0.000198956 0.000198956
"10" "Chr1_3903246" -4.28e-05 -4.28e-05 0.00040002 0.00040002 0.000136988 0.000136988 0.00129428 0.00129428 7.68e-06 7.68e-06 6.37e-10 6.37e-10 0.001356264 0.001356264 1.54e-05 1.54e-05 7.01e-09 7.01e-09 3.42e-05 3.42e-05 -3.75e-09 -3.75e-09 4.97e-05 4.97e-05 6.52e-05 6.52e-05 -0.00301965 -0.00301965 -0.000564488 -0.000564488
"11" "Chr1_3905838" -2.2e-05 -1.46e-05 0.000666247 -0.000311053 -5.28e-05 -0.000426581 0.001152401 0.002726864 5.82e-05 5.39e-05 1.92e-09 1.09e-09 0.000849462 0.001337725 -6.37e-05 -2.91e-05 8.9e-09 6.24e-09 0.00016205 0.000329157 1.25e-10 8.75e-10 -4.19e-05 -0.000125057 2.55e-05 -2.04e-05 -0.003975071 0.000569646 -0.000480202 0.000373283
"12" "Chr1_3931737" 2.64e-05 2.64e-05 0.000660023 0.000660023 0.000151663 0.000151663 0.00161569 0.00161569 -2.29e-05 -2.29e-05 -1.57e-09 -1.57e-09 0.000769905 0.000769905 3.09e-05 3.09e-05 -3.38e-09 -3.38e-09 3.48e-05 3.48e-05 -7.5e-10 -7.5e-10 -6.79e-05 -6.79e-05 1.33e-05 1.33e-05 0.001197146 0.001197146 -0.001070466 -0.001070466
"13" "Chr1_4222942" 7.19e-07 7.19e-07 0.000551546 0.000551546 0.000294027 0.000294027 -0.00135768 -0.00135768 5.43e-06 5.43e-06 1.03e-09 1.03e-09 -0.000999445 -0.000999445 -1.34e-05 -1.34e-05 2.83e-09 2.83e-09 -2.41e-05 -2.41e-05 -1.13e-09 -1.13e-09 2.31e-05 2.31e-05 4.57e-05 4.57e-05 -0.003694996 -0.003694996 -0.00125885 -0.00125885
"14" "Chr1_4222969" 1.11e-05 1.11e-05 -0.000796545 -0.000796545 -0.000356966 -0.000356966 -0.000168803 -0.000168803 1.53e-05 1.53e-05 -1.06e-09 -1.06e-09 0.001329745 0.001329745 -3.23e-05 -3.23e-05 -6.75e-10 -6.75e-10 3.45e-05 3.45e-05 4.62e-09 4.62e-09 -4.56e-05 -4.56e-05 -4.01e-05 -4.01e-05 0.001244951 0.001244951 -0.000431747 -0.000431747
"15" "Chr1_4259778" 2.71e-05 -1.97e-06 -0.000907675 -0.000436626 -0.000445698 -0.000264777 0.001064223 0.001617924 2.14e-05 1.97e-05 2.89e-10 1.15e-09 0.001339338 0.002065184 4.06e-05 -2.64e-05 -1.99e-09 -4.95e-09 -8.15e-05 0.000105765 -2e-09 2.5e-09 -3.05e-05 -5.09e-05 -2.98e-05 -1.44e-06 0.000485774 0.001766977 -0.001742728 -0.000642263
"16" "Chr1_4259807" -9.62e-05 -9.62e-05 0.001420725 0.001420725 0.000146292 0.000146292 -0.0010713 -0.0010713 2.02e-05 2.02e-05 3.23e-09 3.23e-09 -0.00293656 -0.00293656 0.000113653 0.000113653 3.94e-09 3.94e-09 -3.49e-05 -3.49e-05 -1.12e-08 -1.12e-08 -4.71e-05 -4.71e-05 -7.18e-06 -7.18e-06 0.001613517 0.001613517 -0.000444569 -0.000444569
